doc_n,date,title
2017114575.0,2018-12-05,"СЛИВНОЕ УСТРОЙСТВО В СБОРЕ, КОРПУС СЛИВНОГО УСТРОЙСТВА ДЛЯ ИСПОЛЬЗОВАНИЯ В ТАКОМ УСТРОЙСТВЕ В СБОРЕ И КАНАЛИЗАЦИОННЫЙ СИФОН ДЛЯ ИСПОЛЬЗОВАНИЯ В ТАКОМ УСТРОЙСТВЕ В СБОРЕ"
2016139967.0,2018-04-11,ЗАМОК С МЕХАНИЗМОМ СРАБАТЫВАНИЯ ЗАСОВА
2017118554.0,2019-01-24,"ПРИБОР ДЛЯ УСТАНОВКИ МЕЖДУ СТВОРКОЙ И НЕПОДВИЖНОЙ РАМОЙ ОКНА, ДВЕРИ ИЛИ Т.П., А ТАКЖЕ ОКНО, ДВЕРЬ ИЛИ Т.П. С ТАКИМ ПРИБОРОМ"
2017122088.0,2018-12-26,ДЕМПФИРУЮЩЕЕ ИЛИ ВОЗВРАТНОЕ УСТРОЙСТВО ДЛЯ СТВОРОК РАЗДВИЖНЫХ ДВЕРЕЙ ИЛИ ДЛЯ ВЫДВИЖНЫХ ЯЩИКОВ
2017123552.0,2019-03-07,"ЖЕЛОБ, ВОДООТВОДНАЯ СИСТЕМА И СПОСОБ МОНТАЖА"
2019105715.0,2020-09-04,ДЕМПФИРУЮЩЕЕ УСТРОЙСТВО
2016146407.0,2018-05-28,ДВЕРНАЯ ИЛИ ОКОННАЯ ПЕТЛЯ
2016146411.0,2018-05-25,СКРЫТАЯ ДВЕРНАЯ ПЕТЛЯ И ДВЕРНОЙ БЛОК
2017132541.0,2018-12-24,ПЛОМБА ПЛАСТМАССОВАЯ
2016146979.0,2018-06-19,ШАРНИР
2018115758.0,2019-11-14,Потайной шарнир для дверей с регулировкой положения
2016133848.0,2018-03-16,НЕСУЩАЯ КОНСТРУКЦИЯ ДЛЯ ДВЕРИ
2018115764.0,2019-11-14,Конструктивно усовершенствованный невидимый скрытый шарнир для дверей
2016131425.0,2018-02-02,ДВЕРНАЯ ПЕТЛЯ ДЛЯ ЗАКРЫТОГО УСТРОЙСТВА МЕЖДУ ДВЕРНЫМ ПОЛОТНОМ И ДВЕРНОЙ КОРОБКОЙ
2018122207.0,2019-12-16,СПОСОБ ЗАХОРОНЕНИЯ ЖИДКИХ ОТХОДОВ
2018124652.0,2020-01-20,ЗАМОК С СЕКРЕТОМ
2018130845.0,2020-02-27,"ВЫДВИЖНОЙ МЕХАНИЗМ ДЛЯ, КАК МИНИМУМ, ПАРАЛЛЕЛЬНО-ОТСТАВЛЯЕМОЙ И ГОРИЗОНТАЛЬНО ПЕРЕМЕЩАЕМОЙ В ЭТОМ ПОЛОЖЕНИИ СТВОРКИ ОКНА ИЛИ ДВЕРИ"
2017129747.0,2019-02-22,ЗАМОК ДВЕРИ ТРАНСПОРТНОГО СРЕДСТВА
2018131659.0,2020-04-02,ЗАМОК ДЛЯ ДВЕРИ С ПРИТВОРОМ
2019100480.0,2020-07-13,УСТРОЙСТВО ДЛЯ АВТОМАТИЧЕСКОГО ЗАКРЫТИЯ ДВЕРИ
2019112992.0,2020-11-13,"КЛЮЧ, ЗАМОК И ЗАМКОВАЯ СИСТЕМА"
2019114864.0,2020-11-27,СИСТЕМА ОТКРЫТИЯ И ЗАКРЫТИЯ С ВЫТАЛКИВАЮЩИМ УСТРОЙСТВОМ ДЛЯ ПРЕДМЕТА МЕБЕЛИ И СПОСОБ РАБОТЫ СИСТЕМЫ ОТКРЫТИЯ И ЗАКРЫТИЯ
2019115569.0,2020-12-21,ПРИВОДНОЙ МЕХАНИЗМ РАСПАШНОЙ ДВЕРИ
2019108800.0,2020-10-29,"СИСТЕМА, ПЛАТФОРМА И СПОСОБ ПОСТОЯННОГО ОНЛАЙН МОНИТОРИНГА КАЧЕСТВА И БЕЗОПАСНОСТИ ВОДЫ ВСЕЙ СИСТЕМЫ С ТЕКУЧЕЙ СРЕДОЙ С ИСПОЛЬЗОВАНИЕМ БЛОКОВ С МНОЖЕСТВОМ ДАТЧИКОВ С ОНЛАЙН АНАЛИЗОМ ПЕРЕКРЕСТНОЙ ПРОВЕРКИ ДАННЫХ НА 5 УДАЛЕННЫХ СЕРВЕРАХ С ПОМОЩЬЮ ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ И АЛГОРИТМОВ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА"
2017100475.0,2018-07-10,Цилиндровый секретный механизм врезного замка
2017134710.0,2019-05-13,Несущая конструкция для устройства подвесного унитаза
2019104389.0,2020-08-18,ОДНОПРОЦЕССНАЯ ДВУХСТУПЕНЧАТАЯ СИСТЕМА ВОДОПОДГОТОВКИ
2017113608.0,2018-10-23,ОПРЕДЕЛЕНИЕ МЕСТОНАХОЖДЕНИЯ КНОПКИ БАГАЖНИКА ДЛЯ КОНЕЧНОГО ПОЛЬЗОВАТЕЛЯ
2016146542.0,2018-05-31,"КОЛОСНИК ДЛЯ ПРОСЕИВАЮЩЕЙ РЕШЕТКИ ГРОХОТА И ГРОХОТ, ОСНАЩЕННЫЙ ТАКИМ ОБРАЗОМ"
2016140358.0,2018-04-20,СИСТЕМА АВАРИЙНОГО ОТКРЫТИЯ ЗАМКОВ ТРАНСПОРТНОГО СРЕДСТВА
2017100010.0,2018-07-10,МОДУЛЬ ПОВОРОТНО-СДВИЖНОЙ ДВЕРИ С ЦЕНТРАЛЬНОЙ ПРИВЯЗКОЙ ФУНКЦИЙ
2017134155.0,2019-04-03,Устройство для защитной блокировки замка
2017134712.0,2019-05-31,Выталкивающее устройство для подвижной части мебели
2701241.0,2019-09-25,ЗАМОК ДВЕРИ ТРАНСПОРТНОГО СРЕДСТВА
2019117948.0,2020-12-10,СПОСОБ ИДЕНТИФИКАЦИИ КЛЮЧА ЗАМКА ДЕКОДЕРОМ И СУВАЛЬДНЫЙ ЗАМОК НА ЕГО ОСНОВЕ
2017132525.0,2019-04-10,ПРОГРАММИРУЕМЫЙ ЦИЛИНДР ЗАМКА
2017113251.0,2018-10-17,ЦИЛИНДРОВЫЙ МЕХАНИЗМ ЗАМКА И КЛЮЧ К ЦИЛИНДРОВОМУ МЕХАНИЗМУ ЗАМКА
2017144759.0,2019-06-19,Замковое устройство
2018102678.0,2019-07-23,Механический блокиратор рычага управления
2016129729.0,2018-01-25,Запорное устройство для раздвижных дверей
2018106986.0,2019-08-29,СИСТЕМА НАПРАВЛЕНИЯ И ПОДДЕРЖАНИЯ СТВОРКИ СТАНЦИОННОЙ ДВЕРИ
2017119752.0,2018-12-06,АВТОМАТИЗИРОВАННЫЙ ШКАФ С ЭЛЕКТРИЧЕСКИМ УСТРОЙСТВОМ ДИСТАНЦИОННОЙ РАЗБЛОКИРОВКИ
2018118770.0,2019-11-25,"РЕШЕНИЕ ДЛЯ ВЗАИМНОГО КРЕПЛЕНИЯ КОМПОНЕНТОВ ЗАПИРАЮЩЕЙ СИСТЕМЫ, В ЧАСТНОСТИ ДЛЯ ДВЕРЕЙ/ОКОН"
2019109199.0,2020-11-23,"ПОДЪЕМНИК СТВОРКИ, ОКНО ИЛИ ДВЕРЬ С ПОДЪЕМНИКОМ СТВОРКИ И СПОСОБ УСТАНОВКИ ПОДЪЕМНИКА СТВОРКИ"
2017141496.0,2018-01-11,ДВЕРНОЙ СМЯГЧИТЕЛЬ
2016141941.0,2018-05-10,"Направляющее устройство для раздвижных дверей шкафа, шкаф с направляющим устройством и способ прикрепления направляющего устройства к шкафу"
2019114222.0,2020-11-09,СПОСОБ ФОРМИРОВАНИЯ ИМПУЛЬСОВ УПРАВЛЕНИЯ СИСТЕМОЙ ОТПИРАНИЯ-ЗАПИРАНИЯ ДВЕРЕЙ РАЗЛИЧНОГО НАЗНАЧЕНИЯ
2019108808.0,2020-10-09,СТОПОРНОЕ ЛЕКАЛО ДЛЯ МОНТАЖА СДВИЖНОГО ОКНА ИЛИ СДВИЖНОЙ ДВЕРИ
2017112028.0,2018-10-11,МЕХАНИЗМ ОТПИРАНИЯ ДВЕРНОЙ ЗАЩЕЛКИ С ДВУМЯ ТРОСИКАМИ
2016140374.0,2018-04-19,БИСТАБИЛЬНОЕ ЭЛЕКТРОМЕХАНИЧЕСКОЕ МАГНИТНОЕ ЗАПИРАЮЩЕЕ УСТРОЙСТВО
2016130103.0,2018-01-30,УСТАНОВОЧНОЕ УСТРОЙСТВО ДЛЯ ДВЕРНОЙ ПАНЕЛИ
2016124267.0,2018-01-16,БЫТОВОЙ ПРИБОР С ЗАПИРАЮЩИМ УСТРОЙСТВОМ
2018137082.0,2020-04-22,БРОНЕВАЯ НАКЛАДКА ДЛЯ ЦИЛИНДРОВОГО ЗАМКА
2016134162.0,2018-04-09,НАПРАВЛЯЮЩЕЕ УСТРОЙСТВО
2018128581.0,2020-02-11,ДВЕРНОЙ СТОПОР
2018134328.0,2020-04-01,СИСТЕМА ФУРНИТУРЫ ДЛЯ ПОВОРОТНО-ОТКИДНЫХ СТВОРОК ОКОН ИЛИ ДВЕРЕЙ
2018121434.0,2019-12-12,ПЛОМБА С КОНТРОЛЕМ ВСКРЫТИЯ СО ВСТРОЕННЫМИ ГИБКИМИ ЗАПОМИНАЮЩИМИ УСТРОЙСТВАМИ
2016148632.0,2018-06-19,БЛОКИРОВОЧНЫЕ УСТРОЙСТВА С МАТЕРИАЛОМ С ПАМЯТЬЮ ФОРМЫ
2018139462.0,2020-05-12,БЕССТУПЕНЧАТАЯ СИСТЕМА РАЗДВИЖНЫХ ДВЕРЕЙ
2018114866.0,2019-10-23,ЛАБОРАТОРНЫЙ ШКАФ
2018109167.0,2019-09-12,Средство ограничения подвижности
2018135820.0,2020-04-13,КЛЮЧ И СООТВЕТСТВУЮЩИЙ ЗАМОК
2017102470.0,2018-07-26,УПРАВЛЯЮЩАЯ РУЧКА И ВСТАВКА ДЛЯ УПРАВЛЯЮЩЕЙ РУЧКИ
2018132667.0,2020-04-16,СИСТЕМА ЦИЛИНДРОВЫХ ЗАМКОВ И КЛЮЧЕЙ
2018140754.0,2020-06-25,"Направляющее устройство для скользящего элемента, предмет мебели и способ установки скользящего элемента"
2017134649.0,2019-04-05,КОРПУС ЗАМКА
2016125302.0,2018-01-09,"СЛИВНОЕ ПРИСПОСОБЛЕНИЕ, А ТАКЖЕ ВНУТРЕННИЙ ТРУБЧАТЫЙ ЭЛЕМЕНТ ДЛЯ, ПО МЕНЬШЕЙ МЕРЕ, ЧАСТИЧНОГО ВВЕДЕНИЯ ВО ВПУСКНОЙ ПАТРУБОК СЛИВНОГО ПРИСПОСОБЛЕНИЯ"
2016132367.0,2018-02-08,Горизонтальная насосная установка с узлом первичной ступени и отдельным узлом ступени с напором на всасывающей стороне насоса (NPSH)
